"","Genus","Species","Variety","SporeType","SporeName","SporeDim1_min2","SporeDim1_min","SporeDim1_max","SporeDim1_max2","SporeDim2_min2","SporeDim2_min","SporeDim2_max","SporeDim2_max2","Spore_units","SporeArea","Name"
"435","Rhizomucor","pusillus","","sexual","zygospores",NA,45,63,70,NA,45,63,70,"um",2290.22104446696,"Rhizomucor pusillus "
"436","Rhizomucor","pusillus","","asexual","sporangiospore",NA,3,5,NA,NA,3,5,NA,"um",12.5663706143592,"Rhizomucor pusillus "
"437","Rhizopus","oryzae","","asexual","chlamydospore",NA,10,35,NA,NA,10,35,NA,"um",397.607820219958,"Rhizopus oryzae "
"438","Rhizopus","oryzae","","asexual","sporangiospore",4,6,8,12,3,4.5,6,8,"um",28.8633825048562,"Rhizopus oryzae "
"439","Rhizopus","stolonifer","","sexual","zygospores",NA,150,200,NA,NA,150,200,NA,"um",24052.8187540469,"Rhizopus stolonifer "
"440","Rhizopus","stolonifer","","asexual","sporangiospore",5.5,7,12,14,4.5,6,8.5,12,"um",54.0942985039992,"Rhizopus stolonifer "
"441","Sagenomella","diversispora","","asexual","hyaline_conidia",NA,3.5,5,NA,NA,1.5,2.5,NA,"um",6.67588438887831,"Sagenomella diversispora "
"442","Sagenomella","diversispora","","asexual","pigmented_conidia",NA,4.5,8.5,NA,NA,4,5.5,NA,"um",24.2491682948962,"Sagenomella diversispora "
"443","Scelrotinia","scelrotiorum","","sexual","ascospores",NA,9,15,NA,NA,4,7,NA,"um",51.8362787842316,"Scelrotinia scelrotiorum "
"444","Scelrotinia","scelrotiorum","","asexual","conidia",NA,2.5,3.2,NA,NA,2.5,3.2,NA,"um",6.37939658219577,"Scelrotinia scelrotiorum "
"445","Scolecobasidium","constrictum","","asexual","conidia",NA,5,12.5,NA,NA,2,4,NA,"um",20.616701789183,"Scolecobasidium constrictum "
"446","Scolecobasidium","humicola","","asexual","conidia",NA,7.5,15,NA,NA,2.8,4.5,NA,"um",32.2504120845077,"Scolecobasidium humicola "
"447","Scolecobasidium","salinum","","asexual","conidia",NA,30,45,70,NA,4,7,9,"um",161.988371200724,"Scolecobasidium salinum "
"448","Scolecobasidium","terreum","","asexual","chlamydospore",NA,4,6.5,NA,NA,4,6.5,NA,"um",21.6475368786422,"Scolecobasidium terreum "
"449","Scolecobasidium","terreum","","asexual","conidia",NA,4,12,NA,NA,1.5,2.5,NA,"um",12.5663706143592,"Scolecobasidium terreum "
"450","Scolecobasidium","tshawytschae","","asexual","conidia",NA,9,20,NA,NA,2.5,4.5,NA,"um",39.8589567924205,"Scolecobasidium tshawytschae "
"451","Scopulariopsis","acremonium","","asexual","conidia",NA,8,14,NA,NA,5,6,NA,"um",47.5165888855456,"Scopulariopsis acremonium "
"452","Scopulariopsis","brevicaulis","","asexual","conidia",NA,5,8,9,NA,5,7,NA,"um",30.6305283725005,"Scopulariopsis brevicaulis "
"453","Scopulariopsis","brumtii","","asexual","conidia",NA,4.3,5.3,NA,NA,3.5,4.5,NA,"um",15.079644737231,"Scopulariopsis brumtii "
"454","Scopulariopsis","chartarum","","asexual","conidia",NA,4,5.5,NA,NA,3,4,NA,"um",13.0572444664826,"Scopulariopsis chartarum "
"455","Scopulariopsis","fusca","","asexual","conidia",NA,5,8,NA,NA,5,7,NA,"um",30.6305283725005,"Scopulariopsis fusca "
"456","Sordaria","fimicola","","sexual","ascospores",NA,19,24,NA,NA,11,14,NA,"um",211.075756413064,"Sordaria fimicola "
"457","Sordaria","fimicola","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Sordaria fimicola "
"458","Sporothrix","schenkii","","asexual","conidia",NA,2.5,5.5,NA,NA,1.5,2.5,NA,"um",6.28318530717959,"Sporothrix schenkii "
"459","Stachybotrys","chartarum","","asexual","conidia",NA,7,12,NA,NA,4,6,NA,"um",37.3064127613788,"Stachybotrys chartarum "
"460","Stachybotrys","echinata","","asexual","conidia",NA,3,6,NA,NA,3,6,NA,"um",15.9043128087983,"Stachybotrys echinata "
"461","Stachybotrys","elegans","","asexual","slender_conidia",NA,10,16,NA,NA,3,6,NA,"um",45.9457925587507,"Stachybotrys elegans "
"462","Stachybotrys","elegans","","asexual","fusiform_conidia",NA,8,14,NA,NA,6,9,NA,"um",64.7953484802895,"Stachybotrys elegans "
"463","Staphylotrichum","coccosporum","","asexual","aleuroconidia/chlamydospores",NA,10,14,NA,NA,10,14,NA,"um",113.097335529233,"Staphylotrichum coccosporum "
"464","Staphylotrichum","coccosporum","","asexual","conidia",NA,10,12,NA,NA,10,12,NA,"um",95.0331777710912,"Staphylotrichum coccosporum "
